,id,title,price,domain_id,brand
0,MLM1524433213,Smart Tv Samsung Series 7 Un58au7000fxzx Led 4k 58  110v - 127v,9959,MLM-TELEVISIONS,Samsung
1,MLM1620027513,Televisor Hisense A6gv 43  Uhd 4k Smart 43a6gv,6499,MLM-TELEVISIONS,Hisense
2,MLM1853056499,Smart Tv Samsung Series 8 Un43au8000fxzx Led 4k 43  110v - 127v,9299,MLM-TELEVISIONS,Samsung
3,MLM727033865,Smart Tv Hisense R6 Series 43r6e Led 4k 43  120v,5149,MLM-TELEVISIONS,Hisense
4,MLM1526239459,Smart Tv Hisense A6 Series 50a6h Led 4k 50  120v,6999,MLM-TELEVISIONS,Hisense
5,MLM1768823364,Smart Tv Tcl 4-series 55s453 Led 4k 55 ,7999,MLM-TELEVISIONS,TCL
6,MLM1649617489,Smart Tv Hisense 55a65hv Led 4k 55  120v,9699,MLM-TELEVISIONS,Hisense
7,MLM1767008162,Smart Tv Hisense 50a65hv Led 4k 50  120v,7999,MLM-TELEVISIONS,Hisense
8,MLM1820780137,Pantalla Smart Tv 43 Pulgadas Tcl 4 Series Led 4k 3840x2160 Uhd Roku Tv Modelo 43s453,5759,MLM-TELEVISIONS,TCL
9,MLM1478157927,Smart Tv Tcl 5-series 55s546 Qled 4k 55 ,12320,MLM-TELEVISIONS,TCL
10,MLM1779951531,Smart Tv Samsung Series 8 Un55au8000fxzx Led 4k 55  110v - 127v,12599,MLM-TELEVISIONS,Samsung
11,MLM1657199962,Smart Tv LG Uhd 76 Series 50up7670puc Lcd 4k 50  100v/240v,8134,MLM-TELEVISIONS,LG
12,MLM1523213655,Pantalla Smart Tv Hisense 55 Pulgadas 4k Uhd Google Tv 60hz Dolby Vision Hdr,7999,MLM-TELEVISIONS,Hisense
13,MLM1842854871,Smart Tv Samsung Series 7 Un75au7000fxzx Led 4k 75  110v - 127v,18999,MLM-TELEVISIONS,Samsung
14,MLM1648054781,Smart Tv LG Aub Series 55uq8000aub Led 4k 55  120v,7999,MLM-TELEVISIONS,LG
15,MLM1727784900,Pantalla Tcl Led 55  Smart 4k Uhd Android Tv 55a547,8299,MLM-TELEVISIONS,TCL
16,MLM1417452707,Smart Tv Hisense R6e Series 58r6e Led 4k 58  120v,7189,MLM-TELEVISIONS,Hisense
17,MLM1759866791,Smart Tv Hisense Series A6 75a6h Lcd 4k 75  120v,16999,MLM-TELEVISIONS,Hisense
18,MLM1774309142,Smart Tv Hisense U6 Series 50u6h Lcd 4k 50  120v,10999,MLM-TELEVISIONS,Hisense
19,MLM1656699986,Smart Tv Hisense 50 Alexa Quantum Dot Uled Fire Tv 4k Hdr /u,6889,MLM-TELEVISIONS,Hisense
20,MLM1507716909,Smart Tv Hisense 43a60gv Led 4k 43 ,6634,MLM-TELEVISIONS,Hisense
21,MLM1498357186,Smart Tv Hisense A6 Series 55a6g Led 4k 55  120v,7999,MLM-TELEVISIONS,Hisense
22,MLM1385658427,Smart Tv Sony A80j Series Xr-55a80j Oled 4k 55  110v/240v,19999,MLM-TELEVISIONS,Sony
23,MLM1683294973,Smart Tv Tcl 6 Series 55r646 Qled 4k 55 ,13542,MLM-TELEVISIONS,TCL
24,MLM1464331958,Smart Tv Samsung Series 7 Un43tu7000fxza Led 4k 43  110v - 120v,6499,MLM-TELEVISIONS,Samsung
25,MLM1852994793,Smart Tv Samsung Series 7 Un55au7000fxzx Led 4k 55  100v - 127v,10290,MLM-TELEVISIONS,Samsung
26,MLM1768474640,Smart Tv Samsung Series 7 Un65tu700dfxza Led 4k 65  110v - 120v,11900,MLM-TELEVISIONS,Samsung
27,MLM1696740012,Smart Tv Hisense 65a65hv Led 4k 65 ,10899,MLM-TELEVISIONS,Hisense
28,MLM1707277496,Smart Tv Tcl 4-series 55s446 Led 4k 55 ,7999,MLM-TELEVISIONS,TCL
29,MLM1778569398,Smart Tv Samsung Series 7 Un65au7000fxzx Led 4k 65  110v - 127v,15009,MLM-TELEVISIONS,Samsung
30,MLM1684916677,Smart Tv Philips 5700 Series 55pfl5766/f7 Lcd 4k 55  120v,7699,MLM-TELEVISIONS,Philips
31,MLM1587165763,Television Sony 55 Pulgadas Smart Tv Kd-55x75k Led 4k,10999,MLM-TELEVISIONS,Sony
32,MLM1818067591,Smart Tv Hisense Series U6 75u6h Lcd 4k 75  120v,17999,MLM-TELEVISIONS,Hisense
33,MLM1714549183,Smart Tv LG Series Aub 65uq8000aub Led 4k 65  120v,10799,MLM-TELEVISIONS,LG
34,MLM1532905999,Smart Tv Hisense A6 Series 43a6h Led 4k 43  120v,5599,MLM-TELEVISIONS,Hisense
35,MLM1770715770,Smart Tv LG Aub Series 50uq8000aub Lcd 4k 50  120v,7441,MLM-TELEVISIONS,LG
36,MLM1481746474,Pantalla Hisense U8h 55'' Mini Led Uled U8 4k Google Tv,15999,MLM-TELEVISIONS,Hisense
37,MLM1486188684,Smart Tv Hisense A6g Series 70a6g Lcd 4k 70  120v,12243,MLM-TELEVISIONS,Hisense
38,MLM724351167,Smart Tv Hisense R Series 50r6e Led 4k 50  120v,7291,MLM-TELEVISIONS,Hisense
39,MLM1748938963,Smart Tv LG Aub Series 43uq8000aub Led 4k 43  120v,6399,MLM-TELEVISIONS,LG
40,MLM1548124909,Televisor Daewoo Daw50ur 50 Smart Roku Hd,6984,MLM-TELEVISIONS,Daewoo
41,MLM1831679943,Televisor Sony Led Mod. Kd-65x75k,18499,MLM-TELEVISIONS,Sony
42,MLM1886496176,Smart Tv Tcl A4 Series 65a445 4k 65 ,12697,MLM-TELEVISIONS,TCL
43,MLM1648054741,Smart Tv Toshiba M550 Series 55m550ku Lcd 4k 55  120v,7999,MLM-TELEVISIONS,Toshiba
44,MLM1765294566,Smart Tv Samsung Series 7 Un55tu7000fxza Led 4k 55  110v - 120v,8250,MLM-TELEVISIONS,Samsung
45,MLM1426701298,Smart Tv Hisense U6gr Series 55u6gr5 Lcd 4k 55  120v,8332,MLM-TELEVISIONS,Hisense
46,MLM1431595689,Smart Tv Hisense R7 Series 43r7g5 Lcd 4k 43  120v,6299,MLM-TELEVISIONS,Hisense
47,MLM1463396154,Smart Tv Samsung Series 8 Qn55q80aafxzx Qled 4k 55  110v - 127v,45867,MLM-TELEVISIONS,Samsung
48,MLM1630584906,Smart Tv Sansui Smx55f3uad Dled 4k 55  100v/240v,7149,MLM-TELEVISIONS,Sansui
49,MLM1684864926,Smart Tv Hisense 75r6e 4k 75 ,16999,MLM-TELEVISIONS,Hisense
50,MLM1842696094,Smart Tv Samsung Series 7 Un70au7000fxzx Led 4k 70  110v - 127v,16369,MLM-TELEVISIONS,Samsung
51,MLM1416940083,Smart Tv Hisense R6 Series 65r6e Led 4k 65 ,8909,MLM-TELEVISIONS,Hisense
52,MLM1510104356,Smart Tv Sansui Smx50v1ua Led 4k 50  100v/240v,7945,MLM-TELEVISIONS,Sansui
53,MLM1714491293,Smart Tv Toshiba C350 Series 55c350ku Lcd 4k 55  120v,8499,MLM-TELEVISIONS,Toshiba
54,MLM1730535579,Smart Tv Hisense A6gr Series 58a6gr Led 4k 58  120v,9449,MLM-TELEVISIONS,Hisense
55,MLM1856315907,Smart Tv Element E4aa55r Dled 4k 55 ,9999,MLM-TELEVISIONS,Element
56,MLM1468193209,Smart Tv Philips 5700 Serie 43pfl5766/f7 Led 4k 43  120v,5499,MLM-TELEVISIONS,Philips
57,MLM1819102391,Smart Tv Jvc Si55urf 4k 55 ,8119,MLM-TELEVISIONS,JVC
58,MLM1742982222,Smart Tv Sony X80ck Series Kd-55x80ck Lcd 4k 55  110v/240v,11146,MLM-TELEVISIONS,Sony
59,MLM1751325079,Smart Tv Onn. V-series 100012587 Dled 4k 65 ,7999,MLM-TELEVISIONS,Onn.
60,MLM1697099037,Smart Tv Tcl 4-series 65s453 Led 4k 65 ,12599,MLM-TELEVISIONS,TCL
61,MLM1490985296,Pantalla Tcl 55'' 55s453 4 Series 4k Uhd Hdr Led Roku Tv ,7999,MLM-TELEVISIONS,TCL
62,MLM1599142987,Smart Tv Element E4aa43r Dled 4k 43 ,5299,MLM-TELEVISIONS,Element
63,MLM1802325215,Smart Tv Jvc Si50urf Led 4k 50 ,7279,MLM-TELEVISIONS,JVC
64,MLM1611553498,Smart Tv Samsung Series 8 Un50au8000fxzx Led 4k 50  110v - 127v,10579,MLM-TELEVISIONS,Samsung
65,MLM1684916305,Smart Tv Sansui Series 4k Android Tv Smx43t1ua Dled 4k 43  100v/240v,5520,MLM-TELEVISIONS,Sansui
66,MLM1362485130,Smart Tv Samsung Series 7 Un43au7000fxzx Led 4k 43  110v - 127v,7646,MLM-TELEVISIONS,Samsung
67,MLM1856315237,Smart Tv Westinghouse Ux Series Wr50ut4212 Dled 4k 50  100v/240v,7999,MLM-TELEVISIONS,WestingHouse
68,MLM1479881301,Smart Tv Tcl A4-serie 55a445 Led 4k 55 ,8799,MLM-TELEVISIONS,TCL
69,MLM1524243747,Smart Tv Hisense 50u60h Uled 4k 50 ,7899,MLM-TELEVISIONS,Hisense
70,MLM1490978988,Pantalla Tcl 50s453 50'' 4k Uhd Hdr10 Roku Tv Dolby Digital+,8199,MLM-TELEVISIONS,TCL
71,MLM1779495928,Smart Tv Samsung Series 7 Un50au7000fxzx Led 4k 50  110v - 127v,9240,MLM-TELEVISIONS,Samsung
72,MLM1791557483,Smart Tv Samsung Series 7 Un58tu7000fxza Led 4k 58  110v - 120v,9391,MLM-TELEVISIONS,Samsung
73,MLM1648086971,Smart Tv LG Ai Thinq 75un9070aud Ips 4k 75  120v,18999,MLM-TELEVISIONS,LG
74,MLM1723040176,Smart Tv Samsung Series 7 Un60au7000fxzx Led 4k 60  110v - 127v,13232,MLM-TELEVISIONS,Samsung
75,MLM1647951765,Smart Tv Toshiba C350 Series 50c350ku Lcd 4k 50  120v,6899,MLM-TELEVISIONS,Toshiba
76,MLM1661647522,Smart Tv Hisense 58h6500g Lcd 4k 58  120v,20499,MLM-TELEVISIONS,Hisense
77,MLM1767083481,Television Philips 50pfl5766/f7 Android Tv Pantalla 4k Uhd,8749,MLM-TELEVISIONS,Philips
78,MLM944399547,Smart Tv Samsung Series 7 Un50tu7000fxzx Led 4k 50 ,10001,MLM-TELEVISIONS,Samsung
79,MLM1794685322,Smart Tv LG Zue Series 55uq7070zue Lcd 4k 55  120v,8602,MLM-TELEVISIONS,LG
80,MLM1613350558,Smart Tv Tcl 4-series 50s431 Led 4k 50 ,7199,MLM-TELEVISIONS,TCL
81,MLM1688070137,Smart Tv Hisense R6 Series 55r6g Lcd 4k 55  120v,8197,MLM-TELEVISIONS,Hisense
82,MLM1684864572,Smart Tv Sansui 4k Roku Tv Smx55p7ur Dled 4k 55  100v/240v,7460,MLM-TELEVISIONS,Sansui
83,MLM1506582153,Smart Tv Hisense Series A6 75a6h Flat 4k 75'' 120v ,16999,MLM-TELEVISIONS,Hisense
84,MLM1486941352,Pantalla Hisense A6gv 43'' 4k Uhd Dolby Vision Vidaa Tv,6499,MLM-TELEVISIONS,Hisense
85,MLM1851017571,Smart Tv Tcl 4-series 50s451 Led 4k 50 ,10999,MLM-TELEVISIONS,TCL
86,MLM1526259103,Smart Tv Hisense A6 Series 65a6h Lcd 4k 65  120v,10952,MLM-TELEVISIONS,Hisense
87,MLM1503009345,Smart Tv Xiaomi L43m6-6a Led 4k 43  100v/240v,6304,MLM-TELEVISIONS,Xiaomi
88,MLM1467283630,Smart Tv Tcl 4-series 55s431 Led 4k 55 ,9470,MLM-TELEVISIONS,TCL
89,MLM1794290968,Smart Tv LG Zue Series 50uq7070zue Lcd 4k 50  120v,6999,MLM-TELEVISIONS,LG
90,MLM1748765917,Smart Tv LG 76 Series 65up7670puc Lcd 4k 65  100v/240v,10399,MLM-TELEVISIONS,LG
91,MLM1526632328,Smart Tv Samsung Series 7 Un50tu700dfxza Led 4k 50  110v - 120v,9113,MLM-TELEVISIONS,Samsung
92,MLM1434824647,Smart Tv Hisense R7g Series 50r7g5 Lcd 4k 50  120v,7249,MLM-TELEVISIONS,Hisense
93,MLM1465772854,Smart Tv Samsung Series 8 Un65au8000fxzx Led 4k 65  110v - 127v,15968,MLM-TELEVISIONS,Samsung
94,MLM1465915144,Smart Tv Samsung Series 8 Un70tu700dfxza Led 4k 70  110v - 120v,15999,MLM-TELEVISIONS,Samsung
95,MLM1453299571,Smart Tv LG Uhd 90 Series 86un9070aud Lcd 4k 86  120v,30999,MLM-TELEVISIONS,LG
96,MLM1703882933,Smart Tv LG Thinq Ai 65qned80sqa 4k 65  100v/240v,16898,MLM-TELEVISIONS,LG
97,MLM1820702487,Pantalla Onn 100012585 50  2160p 4k Uhd Roku Smart Led Tv,5299,MLM-TELEVISIONS,Onn.
98,MLM1602404206,Smart Tv Toshiba C350-series Fire Tv 65c350ku Lcd 4k 65  120v,10888,MLM-TELEVISIONS,Toshiba
99,MLM1604401067,Smart Tv Sony A80j Series Xr-65a80j Oled 4k 65  110v/240v,29999,MLM-TELEVISIONS,Sony
100,MLM1505381637,Smart Tv Hisense 55a6gv Led 4k 55 ,9083,MLM-TELEVISIONS,Hisense
101,MLM1840195137,Television Tcl 43s431 43 PuLG 4k (2160p) Roku Smart Led Tv,6998,MLM-TELEVISIONS,TCL
102,MLM1609251513,Smart Tv Samsung Series 8 Un55au8200fxzx Led 4k 55  110v - 127v,13037,MLM-TELEVISIONS,Samsung
103,MLM1785031838,Smart Tv LG Puj Series 50uq7570puj Lcd 4k 50  120v,8249,MLM-TELEVISIONS,LG
104,MLM1791627741,Smart Tv Hisense U6 Series 65u6h Lcd 4k 65  120v,13999,MLM-TELEVISIONS,Hisense
105,MLM1822446054,Smart Tv Samsung Series 7 Un75tu7000fxza Led 4k 75  110v - 120v,16999,MLM-TELEVISIONS,Samsung
106,MLM1832047034,Smart Tv Hisense U7 Series 65u7h Lcd 4k 65  120v/220v,15499,MLM-TELEVISIONS,Hisense
107,MLM1744772405,Smart Tv Philips 5000 Series 75pfl5604/f7 Lcd 4k 75  120v,14999,MLM-TELEVISIONS,Philips
108,MLM1531942760,Pantalla Hisense 65a65hv 65'' 4k Hdr Dolby Atmos Vidaa Tv,10899,MLM-TELEVISIONS,Hisense
109,MLM1744347899,Smart Tv Sony Series X85k Kd-85x85k Lcd 4k 85  110v/240v,37999,MLM-TELEVISIONS,Sony
110,MLM1820633978,Smart Tv Vizio V Series V555-j01 4k 55 ,8900,MLM-TELEVISIONS,Vizio
111,MLM1431601561,Smart Tv Sony Bravia Xbr-65x81ch Lcd 4k 65  100v/240v,15999,MLM-TELEVISIONS,Sony
112,MLM1832279399,Smart Tv Jvc Lt-43maw595 Lcd 4k 43  100v/240v,6999,MLM-TELEVISIONS,JVC
113,MLM1743967717,Smart Tv Sony X80k Series Kd-43x80k Lcd 4k 43  110v/240v,11999,MLM-TELEVISIONS,Sony
114,MLM1490959998,Televisor Tcl 43s453  4-series De 43¨ Voltaje 120v /  60 Hz,6699,MLM-TELEVISIONS,TCL
115,MLM1714549193,Smart Tv Samsung Series 7 Un82tu700dfxza 4k 82  110v - 120v,28999,MLM-TELEVISIONS,Samsung
